,S21
6.693,(-0.797843462536702+0.440006379122674j)
6.693002000200021,(-0.7977973106821732+0.4400408942021537j)
6.693004000400041,(-0.7977511391979832+0.4400754156614091j)
6.693006000600061,(-0.7977049480730437+0.4401099435002881j)
6.693008000800081,(-0.7976587372962323+0.4401444777186552j)
6.693010001000101,(-0.7976125068564539+0.4401790183163469j)
6.69301200120012,(-0.7975662567425804+0.4402135652932159j)
6.69301400140014,(-0.7975199869434758+0.4402481186491126j)
6.69301600160016,(-0.797473697448022+0.4402826783838649j)
6.693018001800178,(-0.7974273882450514+0.4403172444973308j)
6.6930200020002,(-0.797381059323448+0.4403518169893204j)
6.69302200220022,(-0.7973347106720201+0.4403863958596921j)
6.69302400240024,(-0.7972883422796114+0.4404209811082703j)
6.69302600260026,(-0.7972419541350665+0.4404555727348696j)
6.69302800280028,(-0.7971955462272141+0.440490170739308j)
6.6930300030003,(-0.797149118544823+0.4405247751214408j)
6.69303200320032,(-0.7971026710767499+0.4405593858810485j)
6.69303400340034,(-0.797056203811723+0.4405940030179993j)
6.69303600360036,(-0.7970097167386097+0.4406286265320495j)
6.69303800380038,(-0.7969632098461484+0.4406632564230429j)
6.6930400040004,(-0.7969166831231312+0.4406978926907748j)
6.69304200420042,(-0.7968701365583163+0.4407325353350579j)
6.69304400440044,(-0.7968235701404452+0.4407671843557083j)
6.69304600460046,(-0.7967769838582612+0.4408018397525327j)
6.69304800480048,(-0.7967303777005776+0.4408365015252771j)
6.6930500050005,(-0.7966837516560875+0.4408711696737689j)
6.69305200520052,(-0.7966371057134931+0.4409058441978198j)
6.69305400540054,(-0.7965904398615683+0.4409405250971798j)
6.69305600560056,(-0.7965437540889568+0.4409752123716881j)
6.69305800580058,(-0.7964970483844425+0.4410099060210699j)
6.6930600060006,(-0.7964503227366804+0.4410446060451387j)
6.69306200620062,(-0.7964035771343785+0.4410793124436599j)
6.69306400640064,(-0.7963568115661928+0.4411140252164286j)
6.69306600660066,(-0.7963100260208168+0.4411487443632045j)
6.69306800680068,(-0.7962632204869179+0.4411834698837573j)
6.6930700070007,(-0.7962163949531644+0.4412182017778483j)
6.69307200720072,(-0.7961695494081915+0.4412529400452542j)
6.69307400740074,(-0.7961226838406692+0.4412876846857175j)
6.6930760076007605,(-0.7960757982391912+0.4413224356990291j)
6.69307800780078,(-0.7960288925924213+0.4413571930849193j)
6.6930800080008,(-0.7959819668889635+0.4413919568431538j)
6.69308200820082,(-0.7959350211174577+0.4414267269734637j)
6.69308400840084,(-0.7958880552664751+0.4414615034756224j)
6.69308600860086,(-0.7958410693246485+0.4414962863493486j)
6.69308800880088,(-0.7957940632805165+0.4415310755944226j)
6.6930900090009,(-0.7957470371227312+0.4415658712105316j)
6.69309200920092,(-0.7956999908398157+0.4416006731974511j)
6.69309400940094,(-0.7956529244203719+0.4416354815548876j)
6.69309600960096,(-0.7956058378529334+0.4416702962825915j)
6.69309800980098,(-0.7955587311260521+0.4417051173802901j)
6.693100010001,(-0.7955116042282542+0.4417399448477209j)
6.69310201020102,(-0.7954644571481462+0.4417747786845539j)
6.69310401040104,(-0.7954172898742039+0.4418096188905472j)
6.69310601060106,(-0.7953701023949392+0.4418444654654227j)
6.69310801080108,(-0.7953228946989003+0.441879318408868j)
6.6931100110011,(-0.7952756667745394+0.441914177720632j)
6.69311201120112,(-0.7952284186104247+0.4419490434003703j)
6.69311401140114,(-0.7951811501949924+0.4419839154478263j)
6.69311601160116,(-0.7951338615167595+0.4420187938626754j)
6.69311801180118,(-0.795086552564156+0.4420536786446485j)
6.6931200120012,(-0.795039223325683+0.4420885697934157j)
6.693122012201221,(-0.7949918737897813+0.442123467308683j)
6.69312401240124,(-0.7949445039449368+0.4421583711901134j)
6.69312601260126,(-0.7948971137795388+0.4421932814374335j)
6.69312801280128,(-0.7948497032820662+0.4422281980502945j)
6.6931300130013,(-0.7948022724409108+0.4422631210284036j)
6.69313201320132,(-0.7947548212445178+0.4422980503714193j)
6.693134013401339,(-0.7947073496812724+0.4423329860790362j)
6.69313601360136,(-0.7946598577396217+0.4423679281508942j)
6.69313801380138,(-0.7946123454079166+0.4424028765866949j)
6.6931400140014,(-0.7945648126745809+0.4424378313860786j)
6.69314201420142,(-0.7945172595279315+0.4424727925487541j)
6.69314401440144,(-0.794469685956429+0.4425077600743167j)
6.69314601460146,(-0.7944220919483665+0.442542733962476j)
6.69314801480148,(-0.7943744774921532+0.4425777142128469j)
6.6931500150015,(-0.7943268425761013+0.4426127008251071j)
6.69315201520152,(-0.7942791871885428+0.4426476937989116j)
6.69315401540154,(-0.7942315113178092+0.4426826931339056j)
6.69315601560156,(-0.7941838149522783+0.4427176988296925j)
6.69315801580158,(-0.7941360980802311+0.4427527108859376j)
6.693160016001601,(-0.7940883606899581+0.4427877293022906j)
6.6931620162016205,(-0.7940406027697954+0.4428227540783585j)
6.69316401640164,(-0.7939928243079908+0.4428577852138043j)
6.69316601660166,(-0.7939450252928828+0.4428928227082163j)
6.69316801680168,(-0.7938972057126938+0.4429278665612577j)
6.6931700170017,(-0.7938493655557469+0.4429629167725107j)
6.69317201720172,(-0.7938015048102667+0.4429979733416196j)
6.69317401740174,(-0.7937536234644962+0.4430330362682061j)
6.69317601760176,(-0.7937057215066813+0.4430681055518821j)
6.69317801780178,(-0.7936577989251112+0.4431031811922178j)
6.6931800180018,(-0.79360985570798+0.4431382631888449j)
6.69318201820182,(-0.7935618918434897+0.4431733515413798j)
6.69318401840184,(-0.7935139073198894+0.4432084462493958j)
6.69318601860186,(-0.7934659021253201+0.4432435473125357j)
6.69318801880188,(-0.7934178762480688+0.4432786547303274j)
6.6931900190019,(-0.7933698296762527+0.4433137685024143j)
