,c_connector_arm_Q,cross_Q,ground_main_plane,misc
c_connector_arm_Q,38.09174,-1.2913,-36.49623,3
cross_Q,-1.2913,25.66375,-23.62852,50
ground_main_plane,-36.49623,-23.62852,97.27173,10
c_connector_arm_Q,38.06822,-1.24443,-36.56028,3
cross_Q,-1.24443,50.35687,-47.694,100
ground_main_plane,-36.56028,-47.694,126.19367,10
c_connector_arm_Q,55.77161,-2.55022,-52.81711,3
cross_Q,-2.55022,50.29541,-46.32784,100
ground_main_plane,-52.81711,-46.32784,140.88694,60
c_connector_arm_Q,37.93924,-1.18208,-36.52184,3
cross_Q,-1.18208,76.77452,-73.85946,150
ground_main_plane,-36.52184,-73.85946,157.52153,10
c_connector_arm_Q,55.7543,-2.33566,-53.04779,3
cross_Q,-2.33566,76.83656,-72.76357,150
ground_main_plane,-53.04779,-72.76357,172.66051,60
c_connector_arm_Q,74.29734,-4.32879,-69.46926,3
cross_Q,-4.32879,76.96876,-70.90337,150
ground_main_plane,-69.46926,-70.90337,187.03496,110
c_connector_arm_Q,37.98048,-1.14255,-36.61841,3
cross_Q,-1.14255,104.05495,-100.85551,200
ground_main_plane,-36.61841,-100.85551,189.19562,10
c_connector_arm_Q,55.77976,-2.24243,-53.2061,3
cross_Q,-2.24243,104.07957,-99.78259,200
ground_main_plane,-53.2061,-99.78259,204.56187,60
c_connector_arm_Q,73.85276,-4.00071,-69.40181,3
cross_Q,-4.00071,104.00633,-97.94329,200
ground_main_plane,-69.40181,-97.94329,218.8347,110
c_connector_arm_Q,92.71468,-6.20173,-85.95242,3
cross_Q,-6.20173,104.20526,-95.9567,200
ground_main_plane,-85.95242,-95.9567,233.1972,160
c_connector_arm_Q,37.95955,-1.12615,-36.65092,3
cross_Q,-1.12615,131.45167,-128.08172,250
ground_main_plane,-36.65092,-128.08172,221.25669,10
c_connector_arm_Q,55.81408,-2.19788,-53.33246,3
cross_Q,-2.19788,131.58558,-127.14208,250
ground_main_plane,-53.33246,-127.14208,236.81194,60
c_connector_arm_Q,74.00616,-3.88822,-69.73793,3
cross_Q,-3.88822,131.52749,-125.38998,250
ground_main_plane,-69.73793,-125.38998,251.3727,110
c_connector_arm_Q,92.29811,-5.81422,-86.00403,3
cross_Q,-5.81422,131.51843,-123.45436,250
ground_main_plane,-86.00403,-123.45436,265.5961,160
c_connector_arm_Q,111.07945,-8.09644,-102.40666,3
cross_Q,-8.09644,131.72904,-121.39402,250
ground_main_plane,-102.40666,-121.39402,279.69489,210
c_connector_arm_Q,37.9969,-1.10815,-36.73488,3
cross_Q,-1.10815,159.23435,-155.74911,300
ground_main_plane,-36.73488,-155.74911,253.7495,10
c_connector_arm_Q,55.74976,-2.17033,-53.33267,3
cross_Q,-2.17033,159.25799,-154.69045,300
ground_main_plane,-53.33267,-154.69045,269.15854,60
c_connector_arm_Q,73.94718,-3.82801,-69.79173,3
cross_Q,-3.82801,159.2219,-152.99813,300
ground_main_plane,-69.79173,-152.99813,283.8326,110
