"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,1.60520431973234,5.43262209080919
2,2.2862930090936,4.22032392383607
3,2.79106081380924,4.83446002648325
4,2.97242524617149,5.25137966951153
5,3.13687834966463,5.7046352860577
6,3.24049558188906,6.10807405034457
7,3.35982695519402,6.36413138579506
8,3.411344435074,6.53867749237752
9,3.44941125504157,6.61400388632441
10,3.48299899206309,6.65827837227349
11,3.50663579794324,6.68567499879903
12,3.53810108189211,6.70512531897238
13,3.55933664815287,6.71296613310787
14,3.57935939455223,6.72019519533384
15,3.59676498139268,6.72910702518718
16,3.61180746064981,6.73586292360014
17,3.6209283943991,6.73784457822374
18,3.62890762189285,6.73810890780449
19,3.63567736479927,6.73921676765465
20,3.6390616890611,6.73896702236758
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
